,Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,successtackles,successtacklepercent,successfulraid,raidrating,tacklerating
182,15,12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.66,38.0,31.57,pavant,jaipur,10.0,26.31578947368421,0.0,0,0
184,14,37,5.0,75.0,4.0,25.0,0.0,0.0,1.0,0.07,3.0,2.0,36.0,2.35,70.0,51.42,amitjaipur,jaipur,33.0,47.14285714285714,1.0,0,0
186,3,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,10.0,40.0,elavarasan,jaipur,3.0,30.0,0.0,0,0
188,20,68,8.0,66.66,3.0,33.33,0.0,0.0,1.0,0.05,7.0,5.0,67.0,3.0,133.0,50.37,sandeepdhull,jaipur,60.0,45.11278195488722,0.9998999999999999,0,0
190,14,9,2.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.42,45.0,20.0,sunilsid,jaipur,6.0,13.333333333333334,0.0,0,0
192,15,51,8.0,75.0,96.0,33.33,1.0,0.0,32.0,2.13,4.0,1.0,19.0,1.0,32.0,59.37,nitinraw,jaipur,15.0,46.875,31.996799999999997,0,0
194,12,12,4.0,73.52,34.0,32.35,1.0,0.0,11.0,0.91,0.0,0.0,1.0,0.08,6.0,16.66,sachinnar,jaipur,1.0,16.666666666666664,10.999,0,0
196,8,14,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.62,28.0,50.0,santhapanaselvam,jaipur,13.0,46.42857142857143,0.0,0,0
198,14,41,9.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,41.0,2.42,74.0,55.4,vishaljai,jaipur,34.0,45.94594594594595,0.0,0,0
200,19,243,26.0,75.19,383.0,63.44,12.0,13.0,243.0,12.78,0.0,0.0,0.0,0.0,2.0,0.0,pardeepnar,patna,0.0,0.0,242.9752,0,0
202,7,5,2.0,50.0,16.0,31.25,0.0,0.0,5.0,0.71,0.0,0.0,0.0,0.0,2.0,0.0,ashishpat,patna,0.0,0.0,5.0,0,0
204,13,50,8.0,81.08,111.0,44.14,0.0,0.0,49.0,3.76,0.0,0.0,1.0,0.07,10.0,10.0,jangpat,patna,1.0,10.0,48.9954,0,0
206,17,38,9.0,75.7,107.0,28.97,0.0,0.0,31.0,1.82,2.0,0.0,7.0,0.29,19.0,36.84,mohammadpat,patna,5.0,26.31578947368421,30.9979,0,0
208,19,36,5.0,79.36,63.0,17.46,0.0,0.0,11.0,0.57,7.0,0.0,25.0,0.94,42.0,59.52,monupat,patna,18.0,42.857142857142854,10.9998,0,0
210,6,4,1.0,75.0,12.0,33.33,0.0,0.0,4.0,0.66,0.0,0.0,0.0,0.0,2.0,0.0,purnapat,patna,0.0,0.0,3.9995999999999996,0,0
212,19,51,11.0,75.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,51.0,2.47,108.0,47.22,neerajpat,patna,47.0,43.51851851851852,0.0,0,0
214,19,48,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,48.0,2.36,104.0,46.15,jaideeppat,patna,45.0,43.269230769230774,0.0,0,0
216,7,5,2.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.71,18.0,27.77,jawaharpat,patna,5.0,27.77777777777778,0.0,0,0
218,3,5,4.0,75.0,8.0,62.5,1.0,0.0,5.0,1.66,0.0,0.0,0.0,0.0,1.0,0.0,amitpat,patna,0.0,0.0,5.0,0,0
220,19,43,5.0,94.73,38.0,21.05,0.0,0.0,8.0,0.42,6.0,1.0,35.0,1.52,79.0,44.3,oshtorakpat,patna,29.0,36.708860759493675,7.999,0,0
222,5,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.4,8.0,37.5,ravindarpat,patna,2.0,25.0,0.0,0,0
224,19,28,6.0,80.35,56.0,21.42,0.0,0.0,12.0,0.63,0.0,0.0,16.0,0.84,53.0,30.18,jaglanpat,patna,16.0,30.18867924528302,11.9952,0,0
226,19,53,7.0,94.44,18.0,11.11,0.0,0.0,2.0,0.1,5.0,5.0,51.0,2.42,103.0,49.51,surjeetpune,pune,46.0,44.66019417475729,1.9997999999999998,0,0
228,12,35,9.0,66.66,60.0,28.33,0.0,0.0,17.0,1.41,1.0,0.0,18.0,1.41,37.0,48.64,amitpune,pune,17.0,45.94594594594595,16.998,0,0
230,6,7,3.0,70.0,20.0,30.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.16,8.0,12.5,darshan,pune,1.0,12.5,6.0,0,0
232,19,126,16.0,75.96,233.0,42.48,2.0,2.0,99.0,5.21,1.0,0.0,27.0,1.36,56.0,48.21,manjeetpune,pune,26.0,46.42857142857143,98.97840000000001,0,0
234,12,53,11.0,74.16,120.0,41.66,0.0,1.0,50.0,4.16,0.0,0.0,3.0,0.25,19.0,15.78,nitintom,pune,3.0,15.789473684210526,49.992,0,0
236,16,113,17.0,77.77,207.0,53.14,4.0,3.0,110.0,6.87,0.0,0.0,3.0,0.18,15.0,20.0,pankajmohit,pune,3.0,20.0,109.9998,0,0
238,6,25,10.0,79.66,59.0,42.37,0.0,1.0,25.0,4.16,0.0,0.0,0.0,0.0,2.0,0.0,pawankumar,pune,0.0,0.0,24.9983,0,0
240,1,0,0.0,66.66,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,sriram,pune,0.0,0.0,0.0,0,0
242,8,8,3.0,52.17,23.0,34.78,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,sushantsail,pune,0.0,0.0,7.9994000000000005,0,0
244,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,depakya,pune,0.0,0.0,0.0,0,0
246,17,29,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,29.0,1.41,54.0,53.7,jashavshah,pune,24.0,44.44444444444444,0.0,0,0
248,12,17,4.0,66.66,6.0,16.66,0.0,0.0,1.0,0.08,1.0,0.0,16.0,1.25,37.0,43.24,haditak,pune,15.0,40.54054054054054,0.9996,0,0
250,13,18,3.0,100.0,8.0,12.5,0.0,0.0,1.0,0.07,2.0,0.0,17.0,1.15,44.0,38.63,shubham,pune,15.0,34.090909090909086,1.0,0,0
252,5,7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.4,21.0,33.33,sanket,pune,7.0,33.33333333333333,0.0,0,0
254,14,31,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,31.0,2.0,76.0,40.78,grishmaru,pune,28.0,36.84210526315789,0.0,0,0
256,5,13,5.0,56.0,25.0,44.0,0.0,0.0,11.0,2.2,1.0,0.0,2.0,0.2,2.0,100.0,amitpune,pune,1.0,50.0,11.0,0,0
258,11,14,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,14.0,1.0,27.0,51.85,sagerpune,pune,11.0,40.74074074074074,0.0,0,0
260,13,58,11.0,74.85,171.0,33.91,2.0,1.0,58.0,4.46,0.0,0.0,0.0,0.0,5.0,0.0,ajaytak,tn,0.0,0.0,57.98609999999999,0,0
262,5,6,4.0,61.53,13.0,46.15,1.0,0.0,6.0,1.2,0.0,0.0,0.0,0.0,3.0,0.0,anandp,tn,0.0,0.0,5.999499999999999,0,0
266,19,125,14.0,72.62,274.0,42.7,0.0,4.0,117.0,6.15,0.0,0.0,8.0,0.42,28.0,28.57,rahulchau,tn,8.0,28.57142857142857,116.998,0,0
268,14,29,5.0,87.09,93.0,23.65,0.0,0.0,22.0,1.57,1.0,0.0,7.0,0.42,22.0,31.81,shabba,tn,6.0,27.27272727272727,21.9945,0,0
270,16,91,18.0,68.94,161.0,56.52,1.0,3.0,91.0,5.68,0.0,0.0,0.0,0.0,9.0,0.0,vajith,tn,0.0,0.0,90.9972,0,0
272,11,16,5.0,68.42,19.0,47.36,0.0,0.0,9.0,0.81,1.0,0.0,7.0,0.54,14.0,50.0,vineetsh,tn,6.0,42.857142857142854,8.9984,0,0
274,14,14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.92,51.0,27.45,ajeet,tn,13.0,25.49019607843137,0.0,0,0
276,6,8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.33,23.0,34.78,mabhi,tn,8.0,34.78260869565217,0.0,0,0
278,6,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,13.0,23.07,ponparthiban,tn,3.0,23.076923076923077,0.0,0,0
280,18,37,5.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,37.0,1.88,81.0,45.67,mohitchi,tn,34.0,41.9753086419753,0.0,0,0
282,10,10,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.9,21.0,47.61,sagartn,tn,9.0,42.857142857142854,0.0,0,0
284,15,41,6.0,68.42,19.0,21.05,0.0,0.0,4.0,0.26,2.0,2.0,37.0,2.33,81.0,45.67,manjeetchhil,tn,35.0,43.20987654320987,3.9995,0,0
286,18,37,4.0,71.42,14.0,64.28,0.0,0.0,9.0,0.5,1.0,0.0,28.0,1.5,65.0,43.07,ransingh,tn,27.0,41.53846153846154,8.9992,0,0
288,3,8,5.0,75.0,8.0,75.0,0.0,0.0,6.0,2.0,1.0,0.0,2.0,0.33,5.0,40.0,victor,tn,1.0,20.0,6.0,0,0
290,18,40,5.0,66.66,6.0,16.66,0.0,0.0,1.0,0.05,3.0,1.0,39.0,2.0,87.0,44.82,aboz,telugu,36.0,41.37931034482759,0.9996,0,0
292,9,13,3.0,93.61,47.0,6.38,0.0,0.0,3.0,0.33,2.0,0.0,10.0,0.88,21.0,47.61,amittel,telugu,8.0,38.095238095238095,2.9986,0,0
294,3,2,2.0,75.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.66,6.0,33.33,kamal,telugu,2.0,33.33333333333333,0.0,0,0
296,10,45,11.0,77.52,89.0,48.31,1.0,2.0,43.0,4.3,0.0,0.0,2.0,0.2,7.0,28.57,ranish,telugu,2.0,28.57142857142857,42.9959,0,0
298,18,177,23.0,72.79,272.0,63.97,6.0,7.0,174.0,9.66,0.0,0.0,3.0,0.16,6.0,50.0,siddharth,telugu,3.0,50.0,173.9984,0,0
300,12,45,18.0,69.9,103.0,42.71,1.0,1.0,44.0,3.66,0.0,0.0,1.0,0.08,7.0,14.28,suraj,telugu,1.0,14.285714285714285,43.9913,0,0
302,18,23,6.0,100.0,3.0,66.66,0.0,0.0,2.0,0.11,3.0,1.0,21.0,1.0,59.0,35.59,carun,telugu,18.0,30.508474576271187,1.9997999999999998,0,0
304,9,6,2.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.66,18.0,33.33,krush,telugu,6.0,33.33333333333333,0.0,0,0
306,18,61,8.0,100.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,61.0,2.88,105.0,58.09,bharad,telugu,52.0,49.523809523809526,0.0,0,0
308,6,9,4.0,59.37,32.0,28.12,1.0,0.0,9.0,1.5,0.0,0.0,0.0,0.0,7.0,0.0,armaan,telugu,0.0,0.0,8.9984,0,0
310,18,52,5.0,84.5,71.0,35.21,0.0,0.0,25.0,1.38,0.0,0.0,27.0,1.5,66.0,40.9,farad,telugu,27.0,40.909090909090914,24.9991,0,0
312,19,62,6.0,92.3,13.0,15.38,0.0,0.0,2.0,0.1,3.0,2.0,60.0,3.0,104.0,57.68,fazel,mumba,57.0,54.807692307692314,1.9994,0,0
314,16,109,13.0,81.62,234.0,46.15,2.0,6.0,108.0,6.75,0.0,0.0,1.0,0.06,12.0,8.33,abhihmumb,mumba,1.0,8.333333333333332,107.991,0,0
316,16,78,15.0,75.67,148.0,51.35,2.0,2.0,76.0,4.75,0.0,0.0,2.0,0.12,5.0,40.0,arjundes,mumba,2.0,40.0,75.998,0,0
318,14,45,9.0,65.42,107.0,42.05,0.0,0.0,45.0,3.21,0.0,0.0,0.0,0.0,4.0,0.0,athul,mumba,0.0,0.0,44.9935,0,0
320,4,10,6.0,72.0,25.0,40.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,dongge,mumba,0.0,0.0,10.0,0,0
322,15,46,9.0,79.38,131.0,32.06,2.0,0.0,42.0,2.8,1.0,0.0,4.0,0.2,11.0,36.36,baliyan,mumba,3.0,27.27272727272727,41.9986,0,0
324,1,0,0.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,vinodk,mumba,0.0,0.0,0.0,0,0
326,5,2,2.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,6.0,33.33,rajaguru,mumba,2.0,33.33333333333333,0.0,0,0
328,16,17,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,1.0,53.0,32.07,harendra,mumba,16.0,30.18867924528302,0.0,0,0
330,10,6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.4,13.0,46.15,chang,mumba,4.0,30.76923076923077,0.0,0,0
332,18,49,9.0,71.42,7.0,57.14,1.0,0.0,4.0,0.22,2.0,2.0,45.0,2.38,101.0,44.55,surinder,mumba,43.0,42.57425742574257,3.9998,0,0
334,18,58,6.0,83.01,53.0,30.18,0.0,0.0,16.0,0.88,5.0,1.0,42.0,2.05,72.0,58.33,sandeepmumba,mumba,37.0,51.388888888888886,15.9954,0,0
338,18,51,7.0,0.0,2.0,50.0,0.0,0.0,1.0,0.05,6.0,3.0,50.0,2.44,85.0,58.82,niteshk,UP,44.0,51.76470588235295,1.0,0,0
341,3,7,4.0,66.66,6.0,100.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.33,1.0,100.0,ankush,UP,1.0,100.0,6.0,0,0
343,4,6,3.0,65.38,26.0,23.07,0.0,0.0,6.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,azad,UP,0.0,0.0,5.998200000000001,0,0
345,10,46,10.0,73.45,113.0,38.05,0.0,1.0,43.0,4.3,1.0,0.0,3.0,0.2,11.0,27.27,monug,UP,2.0,18.181818181818183,42.9965,0,0
347,14,47,9.0,84.49,129.0,35.65,2.0,0.0,46.0,3.28,0.0,0.0,1.0,0.07,8.0,12.5,rishank,UP,1.0,12.5,45.988499999999995,0,0
349,18,117,15.0,77.17,241.0,47.3,2.0,3.0,114.0,6.33,0.0,0.0,3.0,0.16,8.0,37.5,shrinkant,UP,3.0,37.5,113.993,0,0
351,15,62,8.0,75.65,152.0,35.52,1.0,0.0,54.0,3.6,1.0,0.0,8.0,0.46,14.0,57.14,surendergikk,UP,7.0,50.0,53.99040000000001,0,0
353,4,11,5.0,52.17,23.0,43.47,0.0,0.0,10.0,2.5,0.0,0.0,1.0,0.25,4.0,25.0,surendersin,UP,1.0,25.0,9.998099999999999,0,0
355,18,32,4.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,1.66,79.0,40.5,ashusin,UP,30.0,37.9746835443038,0.0,0,0
357,18,25,4.0,100.0,14.0,14.28,0.0,0.0,2.0,0.11,2.0,0.0,23.0,1.16,64.0,35.93,amitsin,UP,21.0,32.8125,1.9991999999999999,0,0
359,18,63,6.0,85.71,7.0,28.57,0.0,0.0,2.0,0.11,1.0,5.0,61.0,3.33,111.0,54.95,sumitsin,UP,60.0,54.054054054054056,1.9999,0,0
362,11,8,2.0,65.51,29.0,17.24,0.0,0.0,5.0,0.45,1.0,0.0,3.0,0.18,8.0,37.5,mohsenm,UP,2.0,25.0,4.9996,0,0
